system	game_key	asset_path	aliases	trigger_count
genesis	BiminiRun-Genesis	profiles/genesis/biminirun_genesis.qrr	biminirun|biminirungenesis	4
genesis	BioHazardBattle-Genesis	profiles/genesis/biohazardbattle_genesis.qrr	biohazardbattle|biohazardbattlegenesis	3
genesis	BishoujoSenshiSailorMoon-Genesis	profiles/genesis/bishoujosenshisailormoon_genesis.qrr	bishoujosenshisailormoon|bishoujosenshisailormoongenesis	5
genesis	BladesOfVengeance-Genesis	profiles/genesis/bladesofvengeance_genesis.qrr	bladesofvengeance|bladesofvengeancegenesis	3
genesis	Blockout-Genesis	profiles/genesis/blockout_genesis.qrr	blockout|blockoutgenesis	1
genesis	BodyCount-Genesis	profiles/genesis/bodycount_genesis.qrr	bodycount|bodycountgenesis	3
genesis	BoogermanAPickAndFlickAdventure-Genesis	profiles/genesis/boogermanapickandflickadventure_genesis.qrr	boogermanapickandflickadventure|boogermanapickandflickadventuregenesis	5
genesis	BoxingLegendsOfTheRing-Genesis	profiles/genesis/boxinglegendsofthering_genesis.qrr	boxinglegendsofthering|boxinglegendsoftheringgenesis	2
genesis	BramStokersDracula-Genesis	profiles/genesis/bramstokersdracula_genesis.qrr	bramstokersdracula|bramstokersdraculagenesis	5
genesis	BubbaNStix-Genesis	profiles/genesis/bubbanstix_genesis.qrr	bubbanstix|bubbanstixgenesis	5
genesis	BubbleAndSqueak-Genesis	profiles/genesis/bubbleandsqueak_genesis.qrr	bubbleandsqueak|bubbleandsqueakgenesis	5
genesis	BubsyII-Genesis	profiles/genesis/bubsyii_genesis.qrr	bubsyii|bubsyiigenesis	5
genesis	BubsyInClawsEncountersOfTheFurredKind-Genesis	profiles/genesis/bubsyinclawsencountersofthefurredkind_genesis.qrr	bubsyinclawsencountersofthefurredkind|bubsyinclawsencountersofthefurredkindgenesis	3
genesis	BurningForce-Genesis	profiles/genesis/burningforce_genesis.qrr	burningforce|burningforcegenesis	3
genesis	Cadash-Genesis	profiles/genesis/cadash_genesis.qrr	cadash|cadashgenesis	1
genesis	Caliber50-Genesis	profiles/genesis/caliber50_genesis.qrr	caliber50|caliber50genesis	5
genesis	CaliforniaGames-Genesis	profiles/genesis/californiagames_genesis.qrr	californiagames|californiagamesgenesis	1
genesis	CaptainAmericaAndTheAvengers-Genesis	profiles/genesis/captainamericaandtheavengers_genesis.qrr	captainamericaandtheavengers|captainamericaandtheavengersgenesis	5
genesis	CaptainPlanetAndThePlaneteers-Genesis	profiles/genesis/captainplanetandtheplaneteers_genesis.qrr	captainplanetandtheplaneteers|captainplanetandtheplaneteersgenesis	3
genesis	CastleOfIllusion-Genesis	profiles/genesis/castleofillusion_genesis.qrr	castleofillusion|castleofillusiongenesis	6
genesis	CastlevaniaBloodlines-Genesis	profiles/genesis/castlevaniabloodlines_genesis.qrr	castlevaniabloodlines|castlevaniabloodlinesgenesis	5
genesis	CastlevaniaTheNewGeneration-Genesis	profiles/genesis/castlevaniathenewgeneration_genesis.qrr	castlevaniathenewgeneration|castlevaniathenewgenerationgenesis	5
genesis	ChampionshipProAm-Genesis	profiles/genesis/championshipproam_genesis.qrr	championshipproam|championshipproamgenesis	5
genesis	ChaosEngine-Genesis	profiles/genesis/chaosengine_genesis.qrr	chaosengine|chaosenginegenesis|chaosenginethe	3
genesis	ChaseHQII-Genesis	profiles/genesis/chasehqii_genesis.qrr	chasehqii|chasehqiigenesis	1
genesis	CheeseCatAstropheStarringSpeedyGonzales-Genesis	profiles/genesis/cheesecatastrophestarringspeedygonzales_genesis.qrr	cheesecatastrophestarringspeedygonzales|cheesecatastrophestarringspeedygonzalesgenesis	5
genesis	ChesterCheetahTooCoolToFool-Genesis	profiles/genesis/chestercheetahtoocooltofool_genesis.qrr	chestercheetahtoocooltofool|chestercheetahtoocooltofoolgenesis	3
genesis	ChesterCheetahWildWildQuest-Genesis	profiles/genesis/chestercheetahwildwildquest_genesis.qrr	chestercheetahwildwildquest|chestercheetahwildwildquestgenesis	3
genesis	ChikiChikiBoys-Genesis	profiles/genesis/chikichikiboys_genesis.qrr	chikichikiboys|chikichikiboysgenesis	3
genesis	ChuckRock-Genesis	profiles/genesis/chuckrock_genesis.qrr	chuckrock|chuckrockgenesis	5
genesis	ChuckRockIISonOfChuck-Genesis	profiles/genesis/chuckrockiisonofchuck_genesis.qrr	chuckrockiisonofchuck|chuckrockiisonofchuckgenesis	5
genesis	ClayFighter-Genesis	profiles/genesis/clayfighter_genesis.qrr	clayfighter|clayfightergenesis	3
genesis	Cliffhanger-Genesis	profiles/genesis/cliffhanger_genesis.qrr	cliffhanger|cliffhangergenesis	5
genesis	Columns-Genesis	profiles/genesis/columns_genesis.qrr	columns|columnsgenesis	2
genesis	CombatCars-Genesis	profiles/genesis/combatcars_genesis.qrr	combatcars|combatcarsgenesis	1
genesis	ComixZone-Genesis	profiles/genesis/comixzone_genesis.qrr	comixzone|comixzonegenesis	2
genesis	CoolSpot-Genesis	profiles/genesis/coolspot_genesis.qrr	coolspot|coolspotgenesis	6
genesis	CrackDown-Genesis	profiles/genesis/crackdown_genesis.qrr	crackdown|crackdowngenesis	3
genesis	CrueBallHeavyMetalPinball-Genesis	profiles/genesis/crueballheavymetalpinball_genesis.qrr	crueballheavymetalpinball|crueballheavymetalpinballgenesis	1
genesis	Curse-Genesis	profiles/genesis/curse_genesis.qrr	curse|cursegenesis	3
genesis	CutthroatIsland-Genesis	profiles/genesis/cutthroatisland_genesis.qrr	cutthroatisland|cutthroatislandgenesis	7
genesis	Cyberball-Genesis	profiles/genesis/cyberball_genesis.qrr	cyberball|cyberballgenesis	1
genesis	CyborgJustice-Genesis	profiles/genesis/cyborgjustice_genesis.qrr	cyborgjustice|cyborgjusticegenesis	5
genesis	DJBoy-Genesis	profiles/genesis/djboy_genesis.qrr	djboy|djboygenesis	3
genesis	DaisenpuuTwinHawk-Genesis	profiles/genesis/daisenpuutwinhawk_genesis.qrr	daisenpuutwinhawk|daisenpuutwinhawkgenesis	3
genesis	DangerousSeed-Genesis	profiles/genesis/dangerousseed_genesis.qrr	dangerousseed|dangerousseedgenesis	5
genesis	DariusII-Genesis	profiles/genesis/dariusii_genesis.qrr	dariusii|dariusiigenesis	4
genesis	DarkCastle-Genesis	profiles/genesis/darkcastle_genesis.qrr	darkcastle|darkcastlegenesis	5
genesis	Darwin4081-Genesis	profiles/genesis/darwin4081_genesis.qrr	darwin4081|darwin4081genesis	3
genesis	DashinDesperadoes-Genesis	profiles/genesis/dashindesperadoes_genesis.qrr	dashindesperadoes|dashindesperadoesgenesis	1
genesis	DavidRobinsonsSupremeCourt-Genesis	profiles/genesis/davidrobinsonssupremecourt_genesis.qrr	davidrobinsonssupremecourt|davidrobinsonssupremecourtgenesis	1
genesis	DazeBeforeChristmas-Genesis	profiles/genesis/dazebeforechristmas_genesis.qrr	dazebeforechristmas|dazebeforechristmasgenesis	5
genesis	DeadlyMoves-Genesis	profiles/genesis/deadlymoves_genesis.qrr	deadlymoves|deadlymovesgenesis	3
genesis	DeathDuel-Genesis	profiles/genesis/deathduel_genesis.qrr	deathduel|deathduelgenesis	3
genesis	DesertStrikeReturnToTheGulf-Genesis	profiles/genesis/desertstrikereturntothegulf_genesis.qrr	desertstrikereturntothegulf|desertstrikereturntothegulfgenesis	3
genesis	DevilCrashMD-Genesis	profiles/genesis/devilcrashmd_genesis.qrr	devilcrashmd|devilcrashmdgenesis	1
genesis	DevilishTheNextPossession-Genesis	profiles/genesis/devilishthenextpossession_genesis.qrr	devilishthenextpossession|devilishthenextpossessiongenesis	3
genesis	DickTracy-Genesis	profiles/genesis/dicktracy_genesis.qrr	dicktracy|dicktracygenesis	5
genesis	DinoLand-Genesis	profiles/genesis/dinoland_genesis.qrr	dinoland|dinolandgenesis	1
genesis	DoubleDragon-Genesis	profiles/genesis/doubledragon_genesis.qrr	doubledragon|doubledragongenesis	5
genesis	DoubleDragonIITheRevenge-Genesis	profiles/genesis/doubledragoniitherevenge_genesis.qrr	doubledragoniitherevenge|doubledragoniitherevengegenesis	5
genesis	DoubleDragonVTheShadowFalls-Genesis	profiles/genesis/doubledragonvtheshadowfalls_genesis.qrr	doubledragonvtheshadowfalls|doubledragonvtheshadowfallsgenesis	1
genesis	DrRobotniksMeanBeanMachine-Genesis	profiles/genesis/drrobotniksmeanbeanmachine_genesis.qrr	drrobotniksmeanbeanmachine|drrobotniksmeanbeanmachinegenesis	2
genesis	DragonTheBruceLeeStory-Genesis	profiles/genesis/dragonthebruceleestory_genesis.qrr	dragonthebruceleestory|dragonthebruceleestorygenesis	5
genesis	DragonsRevenge-Genesis	profiles/genesis/dragonsrevenge_genesis.qrr	dragons|dragonsrevenge|dragonsrevengegenesis	8
genesis	DynamiteDuke-Genesis	profiles/genesis/dynamiteduke_genesis.qrr	dynamiteduke|dynamitedukegenesis	3
genesis	DynamiteHeaddy-Genesis	profiles/genesis/dynamiteheaddy_genesis.qrr	dynamiteheaddy|dynamiteheaddygenesis	5
genesis	ESPNBaseballTonight-Genesis	profiles/genesis/espnbaseballtonight_genesis.qrr	espnbaseballtonight|espnbaseballtonightgenesis	4
genesis	EarnestEvans-Genesis	profiles/genesis/earnestevans_genesis.qrr	earnestevans|earnestevansgenesis	3
genesis	ElViento-Genesis	profiles/genesis/elviento_genesis.qrr	elviento|elvientogenesis	3
genesis	ElementalMaster-Genesis	profiles/genesis/elementalmaster_genesis.qrr	elementalmaster|elementalmastergenesis	3
genesis	EliminateDown-Genesis	profiles/genesis/eliminatedown_genesis.qrr	eliminatedown|eliminatedowngenesis	3
genesis	EuropeanClubSoccer-Genesis	profiles/genesis/europeanclubsoccer_genesis.qrr	europeanclubsoccer|europeanclubsoccergenesis	1
genesis	ExMutants-Genesis	profiles/genesis/exmutants_genesis.qrr	exmutants|exmutantsgenesis	6
genesis	F1-Genesis	profiles/genesis/f1_genesis.qrr	f1|f1genesis	2
genesis	FZSenkiAxisFinalZone-Genesis	profiles/genesis/fzsenkiaxisfinalzone_genesis.qrr	fzsenkiaxisfinalzone|fzsenkiaxisfinalzonegenesis	3
genesis	Fantasia-Genesis	profiles/genesis/fantasia_genesis.qrr	fantasia|fantasiagenesis	5
genesis	FantasticDizzy-Genesis	profiles/genesis/fantasticdizzy_genesis.qrr	fantasticdizzy|fantasticdizzygenesis	5
genesis	FatalFury-Genesis	profiles/genesis/fatalfury_genesis.qrr	fatalfury|fatalfurygenesis	2
genesis	FatalFury2-Genesis	profiles/genesis/fatalfury2_genesis.qrr	fatalfury2|fatalfury2genesis	2
genesis	FatalLabyrinth-Genesis	profiles/genesis/fatallabyrinth_genesis.qrr	fatallabyrinth|fatallabyrinthgenesis	2
genesis	FatalRewind-Genesis	profiles/genesis/fatalrewind_genesis.qrr	fatalrewind|fatalrewindgenesis	5
genesis	FightingMasters-Genesis	profiles/genesis/fightingmasters_genesis.qrr	fightingmasters|fightingmastersgenesis	2
genesis	Flicky-Genesis	profiles/genesis/flicky_genesis.qrr	flicky|flickygenesis	4
genesis	Flintstones-Genesis	profiles/genesis/flintstones_genesis.qrr	flintstones|flintstonesgenesis	3
genesis	ForgottenWorlds-Genesis	profiles/genesis/forgottenworlds_genesis.qrr	forgottenworlds|forgottenworldsgenesis	3
genesis	Frogger-Genesis	profiles/genesis/frogger_genesis.qrr	frogger|froggergenesis	3
genesis	GadgetTwins-Genesis	profiles/genesis/gadgettwins_genesis.qrr	gadgettwins|gadgettwinsgenesis	3
genesis	Gaiares-Genesis	profiles/genesis/gaiares_genesis.qrr	gaiares|gaiaresgenesis	3
genesis	GainGround-Genesis	profiles/genesis/gainground_genesis.qrr	gainground|gaingroundgenesis	2
genesis	GalaxyForceII-Genesis	profiles/genesis/galaxyforceii_genesis.qrr	galaxyforceii|galaxyforceiigenesis	1
genesis	Gauntlet-Genesis	profiles/genesis/gauntlet_genesis.qrr	gauntlet|gauntletgenesis	3
genesis	GeneralChaos-Genesis	profiles/genesis/generalchaos_genesis.qrr	generalchaos|generalchaosgenesis	2
genesis	GhoulsnGhosts-Genesis	profiles/genesis/ghoulsnghosts_genesis.qrr	ghoulsnghosts|ghoulsnghostsgenesis	3
genesis	GlobalGladiators-Genesis	profiles/genesis/globalgladiators_genesis.qrr	globalgladiators|globalgladiatorsgenesis	2
genesis	Gods-Genesis	profiles/genesis/gods_genesis.qrr	gods|godsgenesis	6
genesis	GoldenAxe-Genesis	profiles/genesis/goldenaxe_genesis.qrr	goldenaxe|goldenaxegenesis	3
genesis	GoldenAxeIII-Genesis	profiles/genesis/goldenaxeiii_genesis.qrr	goldenaxeiii|goldenaxeiiigenesis	4
genesis	Granada-Genesis	profiles/genesis/granada_genesis.qrr	granada|granadagenesis	3
genesis	GreatCircusMysteryStarringMickeyAndMinnie-Genesis	profiles/genesis/greatcircusmysterystarringmickeyandminnie_genesis.qrr	greatcircusmysterystarringmickeyandminnie|greatcircusmysterystarringmickeyandminniegenesis	5
genesis	GreatWaldoSearch-Genesis	profiles/genesis/greatwaldosearch_genesis.qrr	greatwaldosearch|greatwaldosearchgenesis|greatwaldosearchthe	1
genesis	GreendogTheBeachedSurferDude-Genesis	profiles/genesis/greendogthebeachedsurferdude_genesis.qrr	greendogthebeachedsurferdude|greendogthebeachedsurferdudegenesis	5
genesis	GrindStormer-Genesis	profiles/genesis/grindstormer_genesis.qrr	grindstormer|grindstormergenesis	3
genesis	Growl-Genesis	profiles/genesis/growl_genesis.qrr	growl|growlgenesis	1
genesis	Gunship-Genesis	profiles/genesis/gunship_genesis.qrr	gunship|gunshipgenesis	3
genesis	Gynoug-Genesis	profiles/genesis/gynoug_genesis.qrr	gynoug|gynouggenesis	3
genesis	HardDrivin-Genesis	profiles/genesis/harddrivin_genesis.qrr	harddrivin|harddrivingenesis	1
genesis	Havoc-Genesis	profiles/genesis/havoc_genesis.qrr	havoc|havocgenesis	3
genesis	HeavyNova-Genesis	profiles/genesis/heavynova_genesis.qrr	heavynova|heavynovagenesis	3
genesis	HeavyUnitMegaDriveSpecial-Genesis	profiles/genesis/heavyunitmegadrivespecial_genesis.qrr	heavyunitmegadrivespecial|heavyunitmegadrivespecialgenesis	3
genesis	Hellfire-Genesis	profiles/genesis/hellfire_genesis.qrr	hellfire|hellfiregenesis	3
genesis	HomeAlone-Genesis	profiles/genesis/homealone_genesis.qrr	homealone|homealonegenesis	1
genesis	HomeAlone2LostInNewYork-Genesis	profiles/genesis/homealone2lostinnewyork_genesis.qrr	homealone2lostinnewyork|homealone2lostinnewyorkgenesis	5
genesis	Hook-Genesis	profiles/genesis/hook_genesis.qrr	hook|hookgenesis	5
genesis	Hurricanes-Genesis	profiles/genesis/hurricanes_genesis.qrr	hurricanes|hurricanesgenesis	6
genesis	IMGInternationalTourTennis-Genesis	profiles/genesis/imginternationaltourtennis_genesis.qrr	imginternationaltourtennis|imginternationaltourtennisgenesis	1
genesis	IncredibleCrashDummies-Genesis	profiles/genesis/incrediblecrashdummies_genesis.qrr	incrediblecrashdummies|incrediblecrashdummiesgenesis|incrediblecrashdummiesthe	6
genesis	IncredibleHulk-Genesis	profiles/genesis/incrediblehulk_genesis.qrr	incrediblehulk|incrediblehulkgenesis|incrediblehulkthe	5
genesis	IndianaJonesAndTheLastCrusade-Genesis	profiles/genesis/indianajonesandthelastcrusade_genesis.qrr	indianajonesandthelastcrusade|indianajonesandthelastcrusadegenesis	4
genesis	InsectorX-Genesis	profiles/genesis/insectorx_genesis.qrr	insectorx|insectorxgenesis	3
genesis	IshidoTheWayOfStones-Genesis	profiles/genesis/ishidothewayofstones_genesis.qrr	ishidothewayofstones|ishidothewayofstonesgenesis	1
genesis	IzzysQuestForTheOlympicRings-Genesis	profiles/genesis/izzysquestfortheolympicrings_genesis.qrr	izzysquestfortheolympicrings|izzysquestfortheolympicringsgenesis	5
genesis	JamesBond007TheDuel-Genesis	profiles/genesis/jamesbond007theduel_genesis.qrr	jamesbond007theduel|jamesbond007theduelgenesis	5
genesis	JamesPond3-Genesis	profiles/genesis/jamespond3_genesis.qrr	jamespond3|jamespond3genesis	5
genesis	JamesPondIICodenameRobocod-Genesis	profiles/genesis/jamespondiicodenamerobocod_genesis.qrr	jamespondiicodenamerobocod|jamespondiicodenamerobocodgenesis	6
genesis	JamesPondUnderwaterAgent-Genesis	profiles/genesis/jamespondunderwateragent_genesis.qrr	jamespondunderwateragent|jamespondunderwateragentgenesis	3
genesis	JewelMaster-Genesis	profiles/genesis/jewelmaster_genesis.qrr	jewelmaster|jewelmastergenesis	3
genesis	JoeAndMac-Genesis	profiles/genesis/joeandmac_genesis.qrr	joeandmac|joeandmacgenesis	5
genesis	JuJuDensetsuTokiGoingApeSpit-Genesis	profiles/genesis/jujudensetsutokigoingapespit_genesis.qrr	jujudensetsutokigoingapespit|jujudensetsutokigoingapespitgenesis	3
genesis	JudgeDredd-Genesis	profiles/genesis/judgedredd_genesis.qrr	judgedredd|judgedreddgenesis	5
genesis	JungleBook-Genesis	profiles/genesis/junglebook_genesis.qrr	junglebook|junglebookgenesis|junglebookthe	6
genesis	JusticeLeagueTaskForce-Genesis	profiles/genesis/justiceleaguetaskforce_genesis.qrr	justiceleaguetaskforce|justiceleaguetaskforcegenesis	3
genesis	KaGeKiFistsOfSteel-Genesis	profiles/genesis/kagekifistsofsteel_genesis.qrr	kagekifistsofsteel|kagekifistsofsteelgenesis	3
genesis	KidChameleon-Genesis	profiles/genesis/kidchameleon_genesis.qrr	kidchameleon|kidchameleongenesis	3
genesis	KingOfTheMonsters2-Genesis	profiles/genesis/kingofthemonsters2_genesis.qrr	kingofthemonsters2|kingofthemonsters2genesis	3
genesis	LastActionHero-Genesis	profiles/genesis/lastactionhero_genesis.qrr	lastactionhero|lastactionherogenesis	5
genesis	LastBattle-Genesis	profiles/genesis/lastbattle_genesis.qrr	lastbattle|lastbattlegenesis	3
genesis	LawnmowerMan-Genesis	profiles/genesis/lawnmowerman_genesis.qrr	lawnmowerman|lawnmowermangenesis|lawnmowermanthe	3
genesis	LegendOfGalahad-Genesis	profiles/genesis/legendofgalahad_genesis.qrr	legendofgalahad|legendofgalahadgenesis|legendofgalahadthe	5
genesis	LethalEnforcers-Genesis	profiles/genesis/lethalenforcers_genesis.qrr	lethalenforcers|lethalenforcersgenesis	1
genesis	LethalEnforcersIIGunFighters-Genesis	profiles/genesis/lethalenforcersiigunfighters_genesis.qrr	lethalenforcersiigunfighters|lethalenforcersiigunfightersgenesis	1
genesis	MUSHA-Genesis	profiles/genesis/musha_genesis.qrr	musha|mushagenesis	3
genesis	MagicalTaruruutoKun-Genesis	profiles/genesis/magicaltaruruutokun_genesis.qrr	magicaltaruruutokun|magicaltaruruutokungenesis	6
genesis	MaouRenjishi-Genesis	profiles/genesis/maourenjishi_genesis.qrr	maourenjishi|maourenjishigenesis	5
genesis	MarbleMadness-Genesis	profiles/genesis/marblemadness_genesis.qrr	marblemadness|marblemadnessgenesis	1
genesis	Marko-Genesis	profiles/genesis/marko_genesis.qrr	marko|markogenesis	11
genesis	Marsupilami-Genesis	profiles/genesis/marsupilami_genesis.qrr	marsupilami|marsupilamigenesis	3
genesis	MarvelLand-Genesis	profiles/genesis/marvelland_genesis.qrr	marvelland|marvellandgenesis	3
genesis	McDonaldsTreasureLandAdventure-Genesis	profiles/genesis/mcdonaldstreasurelandadventure_genesis.qrr	mcdonaldstreasurelandadventure|mcdonaldstreasurelandadventuregenesis	5
genesis	MegaManTheWilyWars-Genesis	profiles/genesis/megamanthewilywars_genesis.qrr	megamanthewilywars|megamanthewilywarsgenesis	5
genesis	MegaSWIV-Genesis	profiles/genesis/megaswiv_genesis.qrr	megaswiv|megaswivgenesis	3
genesis	MegaTurrican-Genesis	profiles/genesis/megaturrican_genesis.qrr	megaturrican|megaturricangenesis	5
genesis	MichaelJacksonsMoonwalker-Genesis	profiles/genesis/michaeljacksonsmoonwalker_genesis.qrr	michaeljacksonsmoonwalker|michaeljacksonsmoonwalkergenesis	5
genesis	MidnightResistance-Genesis	profiles/genesis/midnightresistance_genesis.qrr	midnightresistance|midnightresistancegenesis	3
genesis	MightyMorphinPowerRangers-Genesis	profiles/genesis/mightymorphinpowerrangers_genesis.qrr	mightymorphinpowerrangers|mightymorphinpowerrangersgenesis	2
genesis	MightyMorphinPowerRangersTheMovie-Genesis	profiles/genesis/mightymorphinpowerrangersthemovie_genesis.qrr	mightymorphinpowerrangersthemovie|mightymorphinpowerrangersthemoviegenesis	3
genesis	MonsterLair-Genesis	profiles/genesis/monsterlair_genesis.qrr	monsterlair|monsterlairgenesis	5
genesis	MortalKombat-Genesis	profiles/genesis/mortalkombat_genesis.qrr	mortalkombat|mortalkombatgenesis	1
genesis	MortalKombat3-Genesis	profiles/genesis/mortalkombat3_genesis.qrr	mortalkombat3|mortalkombat3genesis	3
genesis	MortalKombatII-Genesis	profiles/genesis/mortalkombatii_genesis.qrr	mortalkombatii|mortalkombatiigenesis	3
genesis	MrNutz-Genesis	profiles/genesis/mrnutz_genesis.qrr	mrnutz|mrnutzgenesis	3
genesis	MsPacMan-Genesis	profiles/genesis/mspacman_genesis.qrr	mspacman|mspacmangenesis	3
genesis	NewZealandStory-Genesis	profiles/genesis/newzealandstory_genesis.qrr	newzealandstory|newzealandstorygenesis|newzealandstorythe	3
genesis	NormysBeachBabeORama-Genesis	profiles/genesis/normysbeachbabeorama_genesis.qrr	normysbeachbabeorama|normysbeachbabeoramagenesis	5
